id;Word_english;Level;Word_port;Category;Sentence_1;Sentence_2;Sentence_3;words_translation;Type
1;a;A1;um, uma;;I want a cookie.;;;a. [pt] um, uma. [en] ;Word
4;a bottle of;A1;uma garrafa de;Clothing;She bought a bottle of juice.;;;a bottle of. [pt] uma garrafa de. [en] ;Word
7;a day off;A1;um dia de folga;;I'm taking a day off work.;;;a day off. [pt] um dia de folga. [en] ;Word
10;a hundred;A1;cem;Numbers;There are a hundred people at the party.;;;a hundred. [pt] cem. [en] ;Word
13;a lot;A1;muito;;She learned a lot from the lesson.;;;a lot. [pt] muito. [en] ;Word
16;a.m.;A1;manhã;;My class starts at 9 a.m.;;;a.m.. [pt] manhã. [en] ;Word
19;accident;A1;acidente;Communication;He had an accident last week.;;;accident. [pt] acidente. [en] ;Word
22;across;A1;através;Places;I walked across the street.;;;across. [pt] através. [en] ;Word
25;activity;A1;atividade;Business;Swimming is a fun activity.;;;activity. [pt] atividade. [en] ;Word
28;actor;A1;Ator;Business;The actor is performing on stage.;;;actor. [pt] Ator. [en] ;Word
31;actress;A1;Atriz;Business;She is an actress in that movie.;;;actress. [pt] Atriz. [en] ;Word
34;address;A1;Endereço;Business;What is your address?;;;address. [pt] Endereço. [en] ;Word
37;adult;A1;Adulto;;She is an adult now.;;;adult. [pt] Adulto. [en] ;Word
40;adventure;A1;Aventura;;They went on an adventure last weekend.;;;adventure. [pt] Aventura. [en] ;Word
43;afternoon;A1;Tarde;;See you in the afternoon!;;;afternoon. [pt] Tarde. [en] ;Word
46;again;A1;Novamente;;Let's try again!;;;again. [pt] Novamente. [en] ;Word
49;age;A1;Idade;;What is your age?;;;age. [pt] Idade. [en] ;Word
52;ago;A1;Atrás;;She left a while ago.;;;ago. [pt] Atrás. [en] ;Word
55;air;A1;Ar;Nature;The air is fresh in the mountains.;;;air. [pt] Ar. [en] ;Word
58;airport;A1;Aeroporto;Places;We're going to the airport to catch our flight.;;;airport. [pt] Aeroporto. [en] ;Word
61;also;A1;Também;;He is also coming to the party.;;;also. [pt] Também. [en] ;Word
64;always;A1;Sempre;;I always eat breakfast in the morning.;;;always. [pt] Sempre. [en] ;Word
67;an;A1;Um, Uma;;I need an apple.;;;an. [pt] Um, Uma. [en] ;Word
70;animal;A1;Animal;Animals;The zoo has many different animals.;;;animal. [pt] Animal. [en] ;Word
73;another;A1;Outro;;I want another slice of cake.;;;another. [pt] Outro. [en] ;Word
76;anything;A1;Qualquer Coisa;;Is there anything I can help you with?;;;anything. [pt] Qualquer Coisa. [en] ;Word
79;apartment;A1;Apartamento;Home;She lives in a small apartment.;;;apartment. [pt] Apartamento. [en] ;Word
82;apple;A1;Maçã;Foods and drinks;I want to eat an apple.;;;apple. [pt] Maçã. [en] ;Word
85;April;A1;Abril;Days of the week and months;My birthday is in April.;;;April. [pt] Abril. [en] ;Word
88;are;A1;São, Estão;;They are coming to the party.;;;are. [pt] São, Estão. [en] ;Word
91;Argentina;A1;Argentina;Places;My friend is from Argentina.;;;Argentina. [pt] Argentina. [en] ;Word
94;arm;A1;Braço;Human body and health;He broke his arm playing football.;;;arm. [pt] Braço. [en] ;Word
97;Armenia;A1;Armênia;Places;Armenia is in Asia.;;;Armenia. [pt] Armênia. [en] ;Word
100;artist;A1;Artista;Business;She is a talented artist.;;;artist. [pt] Artista. [en] ;Word
103;astronaut;A1;Astronauta;;I want to be an astronaut.;;;astronaut. [pt] Astronauta. [en] ;Word
106;at the;A1;No, Na;;I am at the park.;;;at the. [pt] No, Na. [en] ;Word
109;August;A1;Agosto;Days of the week and months;August is in summer.;;;August. [pt] Agosto. [en] ;Word
112;aunt;A1;Tia;;My aunt lives in London.;;;aunt. [pt] Tia. [en] ;Word
115;Australia;A1;Austrália;Places;Kangaroos are found in Australia.;;;Australia. [pt] Austrália. [en] ;Word
118;Austria;A1;Áustria;Places;She visited Austria last year.;;;Austria. [pt] Áustria. [en] ;Word
121;autumn;A1;Outono;Days of the week and months;The leaves fall in autumn.;;;autumn. [pt] Outono. [en] ;Word
124;awesome;A1;Impressionante;Emotions;That was an awesome movie!;;;awesome. [pt] Impressionante. [en] ;Word
127;baby;A1;Bebê;;They had a baby last month.;;;baby. [pt] Bebê. [en] ;Word
130;badly;A1;Muito Mal;Emotions;She hurt herself badly.;;;badly. [pt] Muito Mal. [en] ;Word
133;bag;A1;Bolsa, Saco;;I need a bag for shopping.;;;bag. [pt] Bolsa, Saco. [en] ;Word
136;bakery;A1;Padaria;Work;I bought bread from the bakery.;;;bakery. [pt] Padaria. [en] ;Word
139;ball;A1;Bola;;Let's play ball!;;;ball. [pt] Bola. [en] ;Word
142;banana;A1;Banana;Foods and drinks;She ate a banana for breakfast.;;;banana. [pt] Banana. [en] ;Word
145;band;A1;Banda;;I like that band's music.;;;band. [pt] Banda. [en] ;Word
148;baseball;A1;Beisebol;Sports;Baseball is a popular sport in America.;;;baseball. [pt] Beisebol. [en] ;Word
151;basketball;A1;Basquete;Sports;They play basketball every Saturday.;;;basketball. [pt] Basquete. [en] ;Word
154;bath;A1;Banho;Home;I take a bath before going to bed.;;;bath. [pt] Banho. [en] ;Word
157;bathroom;A1;Banheiro;Home;The bathroom is next to the bedroom.;;;bathroom. [pt] Banheiro. [en] ;Word
160;be;A1;Ser, Estar;;She wants to be a doctor.;;;be. [pt] Ser, Estar. [en] ;Word
163;beach;A1;Praia;Places;We love going to the beach in summer.;;;beach. [pt] Praia. [en] ;Word
166;beard;A1;Barba;Human body and health;He has a long beard.;;;beard. [pt] Barba. [en] ;Word
169;beautiful;A1;Bonito, Bonita;Emotions;The flowers are beautiful.;;;beautiful. [pt] Bonito, Bonita. [en] ;Word
172;because;A1;Porque;;She is happy because she won.;;;because. [pt] Porque. [en] ;Word
